Publisher;Number;Jan;Feb;Mrz;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez;Bemerkung;;;;;;Publication Date
215 Ink.;Box Boy (2018 series) ;;;Box Boy (2018 series) ;;;;;;;;;;;;;;;;2018
215 Ink.;Flutter (2015 series) #3; #3;;;;;;;;;;;;;;;;;;
215 Ink.;Supernaut (2018 series) ;;Supernaut (2018 series) ;;;;;;;;;;;;;;;;;2017
215 Ink.;The Immortal (2018 series) #1 - Déjà vu;;;;;;;;;; #1 - Déjà vu;;;;;;;;;
215 Ink.;The Immortal (2018 series) #2 - Dead Ends;;;;;;;;;;;; #2 - Dead Ends;;;;;;;
451 Media Group;Ex-Mortis the Complete Graphic Novel (2018 series) ;;;;;Ex-Mortis the Complete Graphic Novel (2018 series) ;;;;;;;;;;;;;;2018
451 Media Group;Nvrlnd (2018 series) ;;Nvrlnd (2018 series) ;;;;;;;;;;;;;;;;;2018
451 Media Group;Red Dog the Complete Graphic Novel (2018 series) ;;;;Red Dog the Complete Graphic Novel (2018 series) ;;;;;;;;;;;;;;;2018
451 Media Group;Six the Complete Graphic Novel (2018 series) ;;;Six the Complete Graphic Novel (2018 series) ;;;;;;;;;;;;;;;;2018
451 Media Group;Stained (2018 series) ;Stained (2018 series) ;;;;;;;;;;;;;;;;;;2018
AARP;AARP Bulletin (1990 ? series) #v59#1; # #1; # #2;; # #3; # #4;; # #6;; # #7; # #8; # #9;;;;;;;;January-February 2018
AARP;AARP Bulletin (1990 ? series) #v59#10;;;;;;;;;;;; # #10;;;;;;;December 2018
Abstract Studio;Motor Girl Omnibus (2018 series) ;;Motor Girl Omnibus (2018 series) ;;;;;;;;;;;;;;;;;2018
Abstract Studio;Strangers in Paradise XXV (2018 series) #1; #1; #2;; #3;; #4;; #5; #6; #7; #8;;;;;;;;[January 2018]
Abstract Studio;Strangers in Paradise XXV (2018 series) #1 - The Chase;;;;;;;;; #1 - The Chase;;;;;;;;;;[September] 2018
Abstract Studio;Strangers in Paradise FCBD (2018 series);;;;;;FCBD;;;;;;;;;;;;;
AC;Crypt of Horror (2005 series) #35;; #35;;;; #36;;;;; #37;;;;;;;;2018
AC;FemForce (1985 series) #181;;; #181;; #182;;;; #183;;;;;;;;;;
AC;Men of Mystery Comics (1999 series) #106; #106;;; #107;;; #108;;; #109;;;;;;;;;2017
ACP Comics;Forbidden Gallery (2016 series) #3;;;;;;;;;; #3;;;;;;;;;Fall 2018
Action Lab Comics;Aberrant (2018 series) #1;;;;;; #1; #2; #3; #4; #5;;;;;;;;;June 2018
Action Lab Comics;Actionverse (2017 series) #5;; #5; #6;;;;;;;;;;;;;;;;
Action Lab Comics;Actionverse (2018 series) #1 - Stray the Rottweiler Years;;; #1 - Stray the Rottweiler Years;;;;;;;;;;;;;;;;
Action Lab Comics;Albert Einstein: Time Mason (2018 series) #1;;;;;;;;;; #1; #2; #3;;;;;;;
Action Lab Comics;Athena Voltaire (2018 series) #1;; #1; #2; #3; #4;; #5;; #6;;;;;;;;;;[February] 2018
Action Lab Comics;Baby Badass (2018 series) #1;; #1; #2; #3; #1;;;;;;;;;;;;;;
Action Lab Comics;Black Betty (2018 series) #1;; #1;; #3;; #4; #5;;;; #6;;;;;;;;
Action Lab Comics;Brigands (2017 series) #2 - Ruin of Thieves;;;;;;;;; #2 - Ruin of Thieves;;;;;;;;;;
Action Lab Comics;Danger Doll Squad: Galactic Gladiators (2018 series) #1;;;; #1; #2; #3; #4;;;;;;;;;;;;August 2018
Action Lab Comics;Danger Doll: Amalgama Lives (2018 series) #1;;;;;;;;;; #1;;;;;;;;;October 2018
Action Lab Comics;Dollface (2017 series) #12; #12; #13;; #14;;; #15;;; #16;;;;;;;;;
Action Lab Comics;Double Jumpers: Full Circle Jerks (2018 series) #1;;;;;;;; #1; #2;;;;;;;;;;
Action Lab Comics;F.O.R.C.E. (2018 series) #1 - The Wright TIme;; #1 - The Wright TIme;;;;;;;;;;;;;;;;;
Action Lab Comics;Force (2017 series) #3; #3;;;;;;;;;;;;;;;;;;
Action Lab Comics;Ghoul Scouts: I Was a Tweenage Werewolf (2018 series) #1;; #1;; #2; #3; #4;;;;;;;;;;;;;[March] 2018
Action Lab Comics;Gingerdead Man Meets Evil Bong (2018 series) #1;;; #1;; #2;;;;;;;;;;;;;;
Action Lab Comics;Gingerdead Man Meets Evil Bong (2018 series) #2;;;;; #3;;;;;;;;;;;;;;
Action Lab Comics;Guncats (2018 series) #1;;;;;;;;; #1;;;;;;;;;;
Action Lab Comics;Guncats (2018 series) #2;;;;;;;;; #2;;;;;;;;;;
Action Lab Comics;The Harcourt Legacy (2017 series) #3;; #3;;;;;;;;;;;;;;;;;January 2018
Action Lab Comics;Helm (2018 series) #1;;;; #1; #2; #3; #4;; #5;;;;;;;;;;April 2018
Action Lab Comics;Hero Cats of Stellar City (2014 series) #20; #20; #21;;;;;;;;;;;;;;;;;
Action Lab Comics;Jack Hammer Paper Hero (2018 series) ;;;;Jack Hammer Paper Hero (2018 series) ;;;;;;;;;;;;;;;2018
Action Lab Comics;Jupiter Jet (2017 series) #2; #2; #3; #4; #5;;;;;;;;;;;;;;;
Action Lab Comics;Jupiter Jet (2018 series) #1;;;;; #1;;;;;;;;;;;;;;
Action Lab Comics;Miraculous (2016 series) #20; #20;;;;;;;;;;;;;;;;;;
Action Lab Comics;Miraculous (2016 series) #21; #21;;;;;;;;;;;;;;;;;;December 2017
Action Lab Comics;Miraculous Adventures of Ladybug and Cat Noir (2017 series) #5;;;;;;; #5;;;;;;;;;;;;June 2018
Action Lab Comics;Miraculous Adventures of Ladybug and Cat Noir (2018 series) #1;;; #1;;;;;;;;;;;;;;;;
Action Lab Comics;Miraculous Tales of Lady Bug and Cat Noir Bug Out (2018 series) ;;;;;Miraculous Tales of Lady Bug and Cat Noir Bug Out (2018 series) ;;;;;;;;;;;;;;2018
Action Lab Comics;Miraculous Tales of the Ladybug and Cat Noir (2016 ? series) #7 - De-Evilize;; #7 - De-Evilize;;; #8 - Bug Out;;;;;;;;;;;;;;
Action Lab Comics;Miraculous: Adventures of Ladybug & Cat Noir: FCBD 2018 (2018 series) ;;;;;Miraculous: Adventures of Ladybug & Cat Noir: FCBD 2018 (2018 series) ;;;;;;;;;;;;;;May 2018
Action Lab Comics;Miraculous: Tales of Ladybug and Cat Noir: Season Two (2018 series) #1 - The Chosen One;;;;;;; #1 - The Chosen One;;; #2 - Santa Claws;;;;;;;;;
Action Lab Comics;Miraculous: Tales of Ladybug and Cat Noir: Season Two (2018 series) #2 - Santa Claws;;;;;;;;;; #3 - Bye Bye, Little Butterfly!;;;;;;;;;December 2018
Action Lab Comics;Misbegotten Runaway Nun (2018 series) #1; #1;;;;;;;;;;;;;;;;;;
Action Lab Comics;Northstars (2018 series) #1;;;;;;;;;; #1;v2- Yeti wedding;;;;;;;;
Action Lab Comics;Nutmeg (2015 series) #4 - Late Winter Coven Cleaner;; #4 - Late Winter Coven Cleaner;;;;;;;;;;;;;;;;;
Action Lab Comics;Nutmeg (2018 series) #1;;;;;;;;; #1;;;;;;;;;;
Action Lab Comics;Princeless Raven the Pirate Princess (2016 series) #4 - Two Ships In the Night;; #4 - Two Ships In the Night;;;; #5 - Get Lost Together;;;;;;;;;;;;;
Action Lab Comics;Princeless Raven the Pirate Princess Year Two Love and Revenge (2017 series) #3; #3; #4; #6;; #7;;;;;;;;;;;;;;
Action Lab Comics;Princeless Raven the Pirate Princess Year Two Love and Revenge (2017 series) #4;; #5;;; #8;;;;;;;;;;;;;;
Action Lab Comics;Princeless: Find Yourself (2018 series) #1;;;;;;;;;;; #1; #2;;;;;;;
Action Lab Comics;Princeless: Raven the Pirate Princes: Year Two HCF (2018 series) ;;;;;;;;;;Princeless: Raven the Pirate Princes: Year Two HCF (2018 series) ;;;;;;;;;September 2018
Action Lab Comics;Puppet Master: Curtain Call (2017 series) #3; #3;;;;;;;;;;;;;;;;;;
Action Lab Comics;Puppet Master: Curtain Call (2018 series) ;Puppet Master: Curtain Call (2018 series) ;;;;;;;;;;;;;;;;;;2018
Action Lab Comics;Ruin of Thieves: Brigands (2018 series) #1;;;;; #1; #2; #3; #4;;;;;;;;;;;
Action Lab Comics;Sami the Samurai Squirrel Welcome to WoodBriar (2018 series) ;;Sami the Samurai Squirrel Welcome to WoodBriar (2018 series) ;;;;;;;;;;;;;;;;;2018
Action Lab Comics;Shinobi Ninja Princess (2017 ? series) #2 - The Lightning Oni; #2 - The Lightning Oni;;;;;;;;;;;;;;;;;;
Action Lab Comics;Shinobi Ninja Princess The Lightning Oni (2017 series) #4; #4;;;;;;;;;;;;;;;;;;
Action Lab Comics;Subspecies (2018 series) #1;;; #1; #2; #3;;;;;;;;;;;;;;
Action Lab Comics;The Consultant (2017 series) #2;; #2; #4;;;;;;;;;;;;;;;;
Action Lab Comics;The Consultant (2017 series) #3;; #3;;;;;;;;;;;;;;;;;
Action Lab Comics;The Ghost, the Owl (2018 series) ;;;;;The Ghost, the Owl (2018 series) ;;;;;;;;;;;;;;2018
Action Lab Comics;Toyetica (2017 series) #2;; #6; #7;; #2;;;;;;;;;;;;;;
Action Lab Comics;Toyetica (2017 series) #4;; #4;;; #8;;;;;;;;;;;;;;Nov 17
Action Lab Comics;Twelve Devils Dancing (2018 series) #1;;;;;;; #1; #2;;;;;;;;;;;
Action Lab Comics;Vampblade (2016 series) #6 - World War Detroit;;;;; #6 - World War Detroit;;; #7 - Down the Vamp Hole;;;;;;;;;;;
Action Lab Comics;Vampblade Season 3 (2018 series) #1;;;; #1; #2; #3; #4; #5; #6; #7; #8; #9;;;;;;;
Action Lab Comics;Vampblade Season 3 (2018 series) #2;;;;;;;;;;;;;;;;;;;
Action Lab Comics;Vampblade Season Two (2017 series) #11; #11; #12;;;;;;;;;;;;;;;;;
Action Lab Comics;Vamplets: Beware the Bitmares (2018 series) #1;;;;;;;;; #1;;;;;;;;;;
Action Lab Comics;Vamplets: Undead Pet Society HCF (2018 series) #1;;;;;;;;;; #1;;;;;;;;;September 2018
Action Lab Comics;Zombie Tramp (2013 series) #13 - Brothel;;;; #13 - Brothel;;;;;;;;;;;;;;;
Action Lab Comics;Zombie Tramp (2013 series) #14 - Redeemer Born;;;;;;;; #14 - Redeemer Born;;;;;;;;;;;
Action Lab Comics;Zombie Tramp (2014 series) #43; #43; #44; #45; #46; #47; #48; #49; #51; #52; #53; #54; #55;;;;;;;
